Question,Option A,Option B,Option C,Option D,Correct Answer,Points
"If the temperature difference between two bodies is 30 degrees Centigrade, what is this difference in degrees Fahrenheit?",62,74,54,86,c,1
Ice covered with sawdust melts slowly because:,Sawdust is a good conductor of heat,Sawdust is a bad conductor of heat,Sawdust absorbs water,Sawdust reflects sunlight,b,1
Cryogenics is a branch of physics specifically related to what?,High pressures,Nuclear reactions,Extremely low temperatures,Sound waves,c,1
By which medium does the Sun primarily transfer heat to the Earth?,Conduction,Convection,Radiation,Advection,c,1
What phenomenon causes the Eiffel Tower to become taller during the summer months?,Atmospheric pressure,Magnetic levitation,Thermal expansion,Solar radiation pressure,c,1
Why does ice covered with sawdust melt slowly?,Sawdust is a good conductor of heat,Sawdust is a bad conductor of heat,Sawdust absorbs water,Sawdust reflects sunlight,b,1
What causes the air near the Earth's surface to continue receiving heat even after sunset?,Solar reflection,Atmospheric pressure,Terrestrial radiation,Wind currents,c,1
"If two bodies are in thermal equilibrium, what is true of their temperature?",Their temperature is different.,Their temperature is decreasing.,Their temperature is the same.,Their temperature is increasing.,c,1
What term describes a thermodynamic process where the volume of a closed system remains constant?,Isothermal Process,Adiabatic Process,Isobaric Process,Isochoric Process,d,1
Which law of thermodynamics equates the increase in internal energy to the sum of heat supplied and work done by the system?,Second Law of Thermodynamics,Zeroth Law of Thermodynamics,Third Law of Thermodynamics,First Law of Thermodynamics,d,1
Who formulated the first two laws of thermodynamics and determined absolute zero to be approximately -273.15°C?,Isaac Newton,Albert Einstein,William Thomson (Lord Kelvin),James Clerk Maxwell,c,1
What is the boiling point of water on the Kelvin scale?,273 K,212 K,100 K,373 K,d,1
What is the approximate normal human body temperature in Kelvin?,273 K,290 K,310 K,330 K,c,1
What is -40°F equivalent to on the Kelvin scale?,253 K,273 K,233 K,213 K,c,1
What is the center of the reflecting surface of a spherical mirror called?,Focus,Center of Curvature,Pole,Vertex,c,1
"If a green leaf is viewed under red light, what color will it appear to be?",Green,Red,White,Black,d,1
"When an object is at infinity, what is the nature of the image formed by a convex mirror?",Real and Inverted,Real and Erect,Virtual and Inverted,Virtual and Erect,d,1
What is the phenomenon called when light bends as it passes from one medium to another?,Reflection,Diffraction,Refraction,Interference,c,1
Two bodies are said to be in what state if their temperatures are identical?,Isochoric Process,Thermal Equilibrium,Thermodynamic Equilibrium,Isothermal Process,b,1
Who formulated the first two laws of thermodynamics and deduced the absolute zero temperature?,Isaac Newton,Albert Einstein,William Thomson (Lord Kelvin),James Clerk Maxwell,c,1
The bending of light as it passes obliquely from one medium to another is known as:,Reflection,Diffraction,Refraction,Interference,c,1
What happens to the entropy of water when it transitions from liquid to solid form (ice)?,Entropy increases,Entropy remains constant,Entropy decreases,Entropy fluctuates,c,1
"If a red rose is viewed through a blue filter, what color will it appear to be?",Red,Blue,Violet,Black,d,1
Which color of light has the shortest wavelength?,Red,Blue,Violet,Green,c,1
Which of the following has the highest refractive index?,Water,Glass,Air,Diamond,d,1
Which of the following is NOT a primary color?,Red,Green,Blue,Yellow,d,1
Which lens is used to correct Astigmatism?,Convex lens,Concave lens,Cylindrical lens,Bifocal lens,c,1
What is the full form of LED?,Light Emission Diode,Light Enhancing Diode,Light Emitting Diode,Liquid Emitting Diode,c,1
Dentists use which type of mirror to view an enlarged image of teeth?,Plane mirror,Convex mirror,Concave mirror,Prismatic mirror,c,1
What should be the minimum height of a plane mirror to allow a person to see their full image?,Equal to the person's height,Twice the person's height,Half of the person's height,One-fourth of the person's height,c,1
What happens to the image formed by a convex lens on a screen if the upper portion of the lens is covered with opaque paper?,The image disappears,Only the lower half of the image is visible,"The complete image is formed, but its intensity decreases",The image becomes blurred,c,1
Which color of light has maximum energy?,Red,Green,Yellow,Blue,d,1
Which combination of colors would be most suitable for a sun umbrella?,Black on top and White on the inside,White on top and White on the inside,Black on top and Black on the inside,White on top and Black on the inside,d,1
Which color of light travels fastest in a medium other than vacuum or air?,Violet,Blue,Green,Red,d,1
What is the purpose of using oil immersion in an optical microscope?,To increase the magnification,To decrease the magnification,To increase the resolving power of the microscope,To decrease the resolving power of the microscope,c,1
What is formed when an opaque object obstructs the path of light?,Reflection,Refraction,Shadow,Image,c,1
"What is the primary function of a 'Very Light Pistol' when used at night, according to the text?",To signal for help over long distances,To start a fire for warmth,To illuminate a place briefly,To scare away wild animals,c,1
Who is credited with propounding the wave theory of light?,Einstein,Newton,Huygens,Maxwell,c,1
"If a red rose is observed through green light, what color will it appear to be?",Green,Red,Black,Yellow,c,1
"According to the text, which of the following is NOT necessarily an advantage of optical communication?",Low cost,High speed,Secure data transmission,Immunity to electromagnetic interference,b,1
What is the main reason for the propagation of light in the atmosphere?,Refraction,Diffraction,Dust particles (Scattering),Reflection,c,1
Which surface reflects more sunlight according to the provided information?,A dark forest,A calm ocean,Land covered with fresh snow,A black asphalt road,c,1
How should two identical bulbs be connected to obtain more light?,In series,One after the other,In parallel,Using a transformer,c,1
What type of cells convert solar energy into electrical energy?,Electrolytic cells,Photovoltaic cells,Dry cells,Fuel cells,b,1
"What does a black body NOT do, according to the text?",Absorb radiation,Emit radiation,Refract radiation,Conduct heat,c,1
"In hypermetropia (farsightedness), where is the image formed?",In front of the retina,On the retina,Behind the retina,Inside the lens,c,1
Approximately how long does it take for light to reach the Earth from the Sun?,2 minutes,1 hour,About 8 minutes,24 hours,c,1
"According to the text, how do we get sunlight in a room?",By Reflection,By Refraction,By Scattering,By Convection,c,1
Which color appears in the middle of the rainbow?,Red color,Blue color,Green color,Violet color,c,1
The use of an endoscope by doctors to view internal organs is based on which principle?,Refraction of light,Reflection of light,Total internal reflection of light,Dispersion of light,c,1
What is identified as the primary cause for the propagation of light within the Earth's atmosphere?,Refraction,Reflection,Dust particles (Scattering),Absorption,c,1
Which surface is known to reflect the most sunlight?,Dry Soil,Dense Forest,Water Body,Land covered with fresh snow,d,1
"To maximize light output from two identical bulbs, how should they be connected?",In series,In parallel,One after the other,It does not matter how they are connected,b,1
What device is primarily used to convert solar energy into electrical energy?,Steam turbines,Photovoltaic cells,Fuel cells,Electromagnets,b,1
Which of the following actions does a black body NOT perform?,Absorption of radiation,Emission of radiation,Refraction of radiation,Complete absorption of specific wavelengths,c,1
The presence of sunlight within a room is primarily due to which phenomenon?,Reflection,Scattering,Refraction,Diffraction,b,1
Which atmospheric phenomenon is visible as a result of the dispersion of sunlight?,Halo,Corona,Rainbow,Aurora,c,1
What color does a red rose appear when viewed through green light?,Red,Green,Black,Yellow,c,1
Which type of surface reflects the most sunlight?,Dark soil,Dense forest,Ocean water,Land covered with fresh snow,d,1
How should two identical bulbs be connected to achieve maximum light output?,In series,In parallel,One after the other,Using a transformer,b,1
What optical process does a black body NOT exhibit?,Absorption of radiation,Emission of radiation,Refraction of radiation,Reflection of radiation,c,1
Which of the following has the highest velocity?,Sound,Water Waves,Light,Radio Waves,c,1
"In the condition of hypermetropia, where is the image formed in relation to the retina?",On the retina,In front of the retina,Behind the retina,Within the lens,c,1
We experience sunlight in a room primarily due to which phenomenon?,Reflection,Refraction,Scattering,Diffraction,c,1
An endoscope uses what principle of light to allow doctors to see internal organs?,Refraction,Diffraction,Total internal reflection,Polarization,c,1
What is the perceived color of a red rose when viewed under green light illumination?,Green,Red,Black,Yellow,c,1
Which of the following is cited as a potential disadvantage of optical communication in certain contexts?,High Bandwidth,Low Noise,High speed,Latency,d,1
What is the most effective way to connect two identical light bulbs to maximize the overall light output?,In Series,In Parallel,In Sequence,In Tandem,b,1
How does sunlight enter a room?,By Convection,By Refraction,By Scattering,By Conduction,c,1
Which type of mirror is used by dentists to examine patients' teeth?,Convex,Plane,Concave,Parabolic,c,1
A person with myopia can see which of the following clearly?,Objects located far away,Objects located at infinity,Objects located nearby,All objects,c,1
At which part of the human eye are light waves converted into nerve impulses?,Cornea,Lens,Iris,Retina,d,1
Which wavelength of visible light is the human eye most sensitive to?,4500 Angstroms (Blue),6500 Angstroms (Red),5500 Angstroms (Yellow-Green),7500 Angstroms (Infrared),c,1
What is the power of sunglasses?,1 Diopter,0.5 Diopter,0 Diopter,2 Diopter,c,1
What is the minimum distance of clear vision for a normal healthy human eye?,10 cm,50 cm,25 cm,100 cm,c,1
Photo-voltaic cells are also known as:,LEDs,Optical fibers,Solar-cells,Laser diodes,c,1
"If a point source of light is placed between two parallel plane mirrors, how many images will be formed?",2,1,Finite,Infinite,d,1
Objects are visible in light due to:,Refraction,Reflection,Transmission,Diffraction,b,1
The color of light is determined by its:,Amplitude,Frequency,Wavelength,Intensity,c,1
The reason for the Sun and Moon appearing elliptical near the horizon is:,Reflection,Diffraction,Scattering,Refraction,d,1
Focusing in the eye happens by:,Changing the size of the pupil,Changing the convexity of the lens,Moving the eyeball,Adjusting the position of the retina,b,1
A person with near-sightedness (Myopia) can see which objects clearly?,Distant objects clearly,All objects clearly,Objects located nearby clearly,No objects clearly,c,1
Focusing in the human eye is primarily accomplished by?,Changing the size of the pupil,Moving the eyeball,Changing the curvature of the cornea,Changing the convexity of the lens,d,1
What is the appropriate color combination in an umbrella to protect from the sun?,"Black on top, white below",White on both sides,Black on both sides,"White on top, black below",d,1
The concept of 'Expanding Universe' is based on?,Newton's law,Doppler effect,Hooke's law,Kepler's law,b,1
The mirror used in a Searchlight is?,Convex mirror,Plane mirror,Concave mirror,Cylindrical mirror,c,1
The sensitivity of the eye is maximum?,Between Red and Blue colors,Between Orange and Red colors,Between Yellow and Green colors,Between Blue and Green colors,c,1
Which of the following is NOT used in night vision cameras?,Infrared radiation,X-ray radiation from objects,Thermal radiation,Heat signatures,b,1
"When light goes from one medium to another, what remains unchanged?",Wavelength,Velocity,Amplitude,Frequency,d,1
Burning of the retina during a total solar eclipse is caused by which ray of the sun?,Infrared (IR) light,Visible light,Ultraviolet (UV) light,Gamma rays,c,1
Multiple images of a rapidly rotated object in front of a TV screen are seen due to?,Refraction,Interference,Stroboscopic effect,Polarization,c,1
'Blind spot' and 'Yellow spot' are found in the?,Cornea,Lens,Retina,Iris,c,1
Scientists have recently created the world's smallest light bulb with the help of?,Carbon nanotubes,Silicon,Graphene,Diamond,c,1
The radius of curvature of a plane mirror is?,Zero,One,Finite,Infinite,d,1
The velocity of light is maximum?,In water,In glass,In air,In Vacuum,d,1
Which type of radiation is NOT used in night vision cameras?,Infrared radiation,X-ray radiation,Thermal radiation,Microwave radiation,b,1
Which type of solar radiation is responsible for causing irreversible damage to the retina during a total solar eclipse?,Infrared (IR) light,Visible light,Ultraviolet (UV) light,Microwave radiation,c,1
The phenomenon of seeing multiple images when a pencil-like object is rotated rapidly in front of a running TV screen is known as what?,Refraction,Diffraction,Stroboscopic effect,Interference,c,1
How does the image formed on the retina compare to the actual object?,Larger than the object and erect,Larger than the object and inverted,Smaller than the object and erect,Smaller than the object and inverted,d,1
"According to the provided information, which color combination is considered appropriate for an umbrella to provide protection from the sun?","Black on top, white below","White on top, black below","Red on top, blue below","Blue on top, red below",b,1
Looking directly at the sun during a total solar eclipse can cause irreversible damage to the eye due to which type of radiation?,Infrared (IR) light,Microwave radiation,Ultraviolet (UV) light,Visible light,c,1
"Which alkaloid, when in a very dilute solution, is used to dilate the pupil of human eyes?",Quinine,Morphine,Atropine,Cocaine,c,1
Why does light appear to travel in a straight line?,Due to its high velocity,Due to reflection,The wavelength of light is very small,Due to its particle nature,c,1
"From an environmental perspective, which energy source is considered the best for maintaining cleanliness?",Nuclear power,Fossil fuels,Solar cell,Hydroelectric power,c,1
Why does a rod immersed in a vessel filled with water appear bent?,Due to diffraction,Due to interference,Due to reflection,Due to refraction,d,1
The oval appearance of the sun immediately before sunrise or sunset is due to what phenomenon?,Diffraction,Interference,Reflection,Refraction,d,1
"When an object is placed between two parallel plane mirrors, how many images are formed?",Two,One,Infinite,Four,c,1
Laser is a device by which what is generated?,Ordinary light,Incoherent radiation,Stimulated radiation,Heat waves,c,1
Which effect helps in determining the nature of the universe?,Photoelectric effect,Compton effect,Doppler's effect,Tyndall effect,c,1
Which color of light in VIBGYOR has the minimum wavelength?,Red,Blue,Green,Violet,d,1
"Besides red and green, which other color wavelength of sunlight is absorbed by water molecules in the oceans?",Blue,Violet,Yellow,Orange,c,1
"Into how many regions is the electromagnetic spectrum generally divided, when ordered by increasing energy and frequency?",Five,Six,Eight,Seven,d,1
"What color light is formed when red, blue, and green lights are mixed in equal amounts?",Yellow,Cyan,White,Magenta,c,1
"Objects that emit light themselves, such as the sun, are called what?",Opaque objects,Transparent objects,Luminous bodies/objects,Reflective objects,c,1
"Immediately before sunrise or sunset, the oval shape of the sun is attributed to:",Dispersion,Reflection,Refraction,Diffraction,c,1
Laser is a device that generates what type of radiation?,Unstimulated radiation,Infrared radiation,Stimulated radiation,Ultraviolet radiation,c,1
Light appears to travel in a straight line due to which of the following properties?,High frequency,Large amplitude,Very small wavelength,High velocity,c,1
"From an environmental perspective, which of the following energy sources is considered the best?",Nuclear power,Coal,Solar cell,Petroleum,c,1
"When an object is positioned between two parallel plane mirrors, what is the number of images formed?",Two,One,Ten,Infinite,d,1
A laser is a device that generates light through which process?,Spontaneous emission,Refraction,Stimulated radiation,Reflection,c,1
Light waves are categorized as which type of waves?,Sound waves,Mechanical waves,Electromagnetic waves,Pressure waves,c,1
The scattering of a light beam by a medium containing microscopic suspended particles is known as?,Dispersion,Alpenglow,Lateral Inversion,Tyndall effect,d,1
The splitting of white light into its constituent colors is termed as?,Reflection,Refraction,Dispersion,Interference,c,1
The phenomenon in which mountain peaks turn pink or orange at sunrise and sunset is called?,Tyndall effect,Lateral Inversion,Dispersion,Alpenglow,d,1
Lateral inversion of light is observed in which type of mirror?,Convex mirror,Concave mirror,Plane mirror,Parabolic mirror,c,1
"If light is reflected between two plane mirrors facing each other, how many images will be formed?",One,Two,Finite,Infinite,d,1
The size of the image formed by a plane mirror is always ______ the object.,Smaller than,Larger than,Equal to,Twice the size of,c,1
The phenomenon where the object on the left appears on the right and vice-versa in a mirror image is called:,Refraction,Dispersion,Lateral Inversion,Reflection,c,1
What is the total number of images formed by two mirrors inclined at 120 degrees to each other?,1,2,3,Infinite,b,1
Which type of mirror is most suitable for use in a solar cooker?,Plane,Convex,Concave,Cylindrical,c,1
"If a concave mirror is used, the correct formula for magnification is:",(Object distance) / (Image distance),(Focal length) / (Object distance),(Image distance) / (Object distance),(Object height) / (Image height),c,1
"If an object is placed at the center of curvature of a concave mirror, where will the image be formed?",At infinity,At the focus,At the center of curvature,Between the focus and the center of curvature,c,1
"Which type of mirror always produces a virtual, erect, and point-sized image?",Concave,Plane,Convex,Parabolic,c,1
"In the formula n=c/v for refractive index, what does 'c' represent?",Speed of light in the medium,Frequency of light,Speed of light in vacuum,Wavelength of light,c,1
The change in direction of light as it passes from one medium to another is known as:,Reflection,Diffraction,Refraction,Interference,c,1
Which substance has a refractive index closest to that of Crown Glass?,Diamond,Water,Canada Balsam,Glass Wool,c,1
The shine observed in bubbles produced in water is due to what optical phenomenon?,Refraction of light,Dispersion of light,Total Internal Reflection of light,Interference of light,c,1
What is the focal length of a convex lens with a power of +2.5 Diopters?,25 cm,50 cm,40 cm,20 cm,c,1
What type of lens is found in the upper part of a bifocal lens?,Convex,Cylindrical,Concave,Planoconvex,c,1
"Which type of lens always forms a virtual, erect, and smaller image?",Convex,Planoconvex,Concave,Cylindrical,c,1
"In the expression '-2.0 D' for the power of a lens, what does 'D' stand for?",Distance,Diameter,Diopter,Deviation,c,1
Why is it difficult to see in a dimly lit room after coming from a bright room?,The retina bleaches and needs time to recover,The lens becomes opaque temporarily,"The iris contracts, making the pupil smaller and allowing less light in","The ciliary muscles relax, blurring vision",c,1
Which muscles are responsible for modifying the curvature of the eye lens?,Pupillary muscles,Extraocular muscles,Ciliary muscles,Oblique muscles,c,1
Which vision defect are people who wear bifocal lenses likely to have?,Myopia,Hypermetropia,Astigmatism,Presbyopia,d,1
Rajat has Hypermetropia. Which type of lens will the ophthalmologist likely recommend?,Concave,Cylindrical,Convex,Planar,c,1
The shimmering effect observed in bubbles formed in water is a result of:,Refraction of light,Dispersion of light,Total Internal Reflection of light,Diffraction of light,c,1
"In a bifocal lens, the lens present in the upper part is:",Convex,Cylindrical,Concave,Plano-convex,c,1
"Which type of lens consistently produces a virtual, erect, and smaller image?",Convex,Plano-convex,Concave,Cylindrical,c,1
"When transitioning from a brightly lit room to a dimly lit one, the temporary inability to see is due to:","The iris dilating, decreasing light entry","The iris contracting, increasing light entry","The iris dilating, increasing light entry","The iris contracting, decreasing light entry",d,1
People who use bifocal lenses typically have which condition?,Myopia,Hypermetropia,Astigmatism,Presbyopia,d,1
People who wear bifocal lenses are commonly found to have which eye condition?,Myopia,Hypermetropia,Astigmatism,Presbyopia,d,1
What causes the temporary inability to see objects in a dimly lit room after coming from a bright room?,Dilation of the pupil,Contraction of the ciliary muscles,The iris contracts making the pupil smaller allowing less light to enter the eye,Increased sensitivity of the retina,c,1
"To correct Rajat's Hypermetropia (long-sightedness), which type of lens would an ophthalmologist likely prescribe?",Concave,Cylindrical,Convex,Plano-concave,c,1
Which of the following refractive indices is closest to that of Crown Glass?,Diamond,Water,Canada Balsam,Flint Glass,c,1
The change in focal length of the eye lens is caused by the action of which of the following?,Retina,Iris,Ciliary muscle,Cornea,c,1
A person with hypermetropia has to keep reading material at what distance (in cm) to read clearly?,15,20,30,25,d,1
"When the human eye lens becomes thin, what happens to the focal length?",Decreases,Remains constant,Increases,Becomes zero,c,1
Who is credited with making the first compound microscope?,Robert Hooke,Antonie van Leeuwenhoek,Zacharias Janssen,Hans Lippershey,c,1
Which optical component is used in a periscope?,Convex lenses,Concave lenses,Two plane mirrors,Prisms,c,1
The splitting of light into different colors is known as what phenomenon?,Reflection,Refraction,Interference,Dispersion,d,1
Which color has the longest wavelength in the colors of the rainbow?,Violet,Blue,Green,Red,d,1
"According to Ohm's law, which equation is correct?",V=R/I,I=VR,R=V/I,V=IR^2,c,1
Which of the following is an example of an insulator?,Copper,Aluminum,Diamond,Silver,c,1
"If net charge Q flows across any cross-section of a conductor in time (t), the current (I) is given by?",I=Qt,I=Q+t,I=Q/t,I=t/Q,c,1
The alteration in the focal length of the eye lens is attributed to the functioning of which of the following?,Retina,Iris,Ciliary muscle,Cornea,c,1
Which color possesses the longest wavelength in the spectrum of a rainbow?,Violet,Blue,Green,Red,d,1
Which color of the rainbow exhibits the shortest wavelength?,Red,Yellow,Green,Violet,d,1
"If a net charge Q passes through a conductor's cross-section in time t, what is the formula for the current (I) flowing through that cross-section?",I=Qt,I=Q-t,I=Q/t,I=t/Q,c,1
"How far, in centimeters, does a person with hypermetropia need to hold reading material to see clearly?",15,20,30,25,d,1
What does a fuse protect an electric circuit from?,Short circuit,Overloading,High voltage,Low current,b,1
What is used to connect various appliances in series?,Resistor,Capacitor,Connecting wire,Inductor,c,1
What is the relationship between current and potential difference in a conductor?,Inversely proportional,Indirectly proportional,Equal,Directly proportional,d,1
The force exerted by a charged object on another charged or uncharged object is called?,Magnetic force,Gravitational force,Electrostatic force,Nuclear force,c,1
Chemical energy is converted into electrical energy by which of the following?,Generator,Motor,Storage cell,Transformer,c,1
"According to the text, which of the following is the best conductor of electricity?",Fresh water,Distilled water,Sea water,Tap water,c,1
An increase in light only when the speed of a bus increases indicates?,Strong battery,Efficient engine,Weak battery,Faulty wiring,c,1
What is a passive two-terminal electrical component that implements electrical resistance as a circuit element called?,Inductor,Capacitor,Resistor,Transistor,c,1
A simple device used to break an electric circuit or complete it is?,Transformer,Switch,Relay,Fuse,b,1
What electrical device can be used to expand the capacity of a wall outlet to accommodate more appliances?,Transformer,Power strip,Voltage regulator,Circuit breaker,b,1
"Elements of electric irons, heaters, and electric kettles are commonly made of?",Aluminum,Copper,Nichrome,Iron,c,1
What happens to the resistance of a semiconductor when it is heated?,Increases,Remains constant,Decreases,Becomes zero,c,1
The current flowing through a conductor is directly proportional to which of the following?,Resistance,Potential difference,Temperature,Conductance,b,1
What converts chemical energy into electrical energy?,Generator,Storage cell,Motor,Transformer,b,1
Which of the following is identified as a 'Semiconductor'?,Aluminum,Copper,Germanium,Silver,c,1
Heating a semiconductor makes its resistance:,Increase,Decrease,Remain constant,Become infinite,b,1
"According to which law of physics, doubling the distance between two electric charges reduces the force to one-fourth?",Ohm's Law,Kirchhoff's Law,Coulomb's Law,Newton's Law,c,1
What happens to the current in a bulb when the circuit breaks?,Current increases,Current flows intermittently,Current stops flowing,Current remains constant,c,1
Which property is characteristic of the wire used in an electric fuse?,It expands quickly,It melts quickly,It cools quickly,It hardens quickly,b,1
On what basis is the rating for a fuse in domestic electric circuits provided?,Electric voltage,Electric power,Electric resistance,Electric current,d,1
What does Kirchhoff's first law state regarding current at a junction?,Total current entering is less than leaving,Total current entering is greater than leaving,Total current entering equals total current leaving,Current is zero at the junction,c,1
Which precaution helps prevent overloading in domestic electrical circuits?,Using thicker wires,Fuse must be connected to the circuit,Increasing voltage supply,Reducing the number of appliances,b,1
Electrical wires are typically coated with what material?,Rubber,Polyvinyl Chloride (PVC),Asbestos,Fiberglass,b,1
'Kirchhoff's Laws' are primarily related to which field of science?,Electromagnetism,Electric Circuit,Thermodynamics,Optics,b,1
What is the most important safety device in an electrical circuit for protection against short circuiting?,Transformer,Fuse,Capacitor,Inductor,b,1
What happens to the current in a resistor when the resistance is doubled?,Current doubles,Current becomes half,Current remains the same,Current becomes zero,b,1
What is the consequence when an electric current flows through a wire?,The wire gets cold,The wire gets hot,The wire remains at the same temperature,The wire emits light,b,1
What is the frequency of Direct Current (DC)?,50 Hz,60 Hz,Infinite,Zero,d,1
Which material is NOT a good conductor of electricity?,Silver,Copper,Diamond,Aluminum,c,1
Who discovered the relationship between current and potential difference in a metal wire?,Isaac Newton,Michael Faraday,Georg Simon Ohm,James Watt,c,1
"Georg Simon Ohm, the namesake of Ohm's Law, was from which country?",England,France,Germany,Italy,c,1
To what can electric current in a conductor be compared?,Light waves in a fiber,Water currents in a river,Sound waves in air,Heat flow in a rod,b,1
Which of the following statements accurately reflects Kirchhoff's first law?,Total current entering a junction is less than the total current leaving.,Total current entering a junction is greater than the total current leaving.,Total current entering a junction is equal to the total current leaving.,Current is equally distributed in all branches.,c,1
What type of electrical component produces electrical resistance as a circuit element?,Capacitor,Inductor,Resistor,Diode,c,1
What typically occurs when an electric current flows through a wire?,The wire gets cold,The wire remains at the same temperature,The wire gets hot,The wire becomes magnetic,c,1
How does electrical conductivity through metals change with an increase in temperature?,Increases with temperature,Remains constant,Decreases with increase in temperature,Fluctuates randomly,c,1
In which scenario will the current stop flowing in a bulb?,When the voltage increases,When the circuit breaks,When the resistance decreases,When the current increases,b,1
Which law states that the total current entering a junction equals the total current leaving it?,Ohm's Law,Faraday's Law,Kirchhoff's Second Law,Kirchhoff's First Law,d,1
Electrical wires are generally coated with:,Rubber,Polyvinyl Chloride (PVC),Fiberglass,Asbestos,b,1
The formula representing Ohm's law is:,I = V × R,R = V × I,V = I × R,V = R / I,c,1
"In an electrical circuit, what causes the current to stop flowing in a bulb?",Increase in resistance,Decrease in voltage,Circuit breaks,Overloading,c,1
Which property is essential for the wire used in an electric fuse?,High conductivity,Low resistance,It melts quickly,High tensile strength,c,1
"According to Ohm's Law, what condition must remain constant for the ratio of potential difference to current to be constant?",Pressure,Temperature,Volume,Density,b,1
"If four resistors of 3Ω, 4Ω, 5Ω, and 6Ω are connected in series, what is the combined resistance?",12Ω,20Ω,18Ω,24Ω,c,1
"To reduce electrical resistance, how should resistors be connected?",In series,In parallel,One after another,It does not matter,b,1
Which of the following factors does NOT affect the resistance of a metal conductor?,Length of wire,Area of cross-section of wire,Resistivity,Density of the material,d,1
"When two resistors are connected in parallel, what remains the same across them?",Electric current,Resistance,Potential difference,Temperature,c,1
The heat generated in a resistor wire is proportional to which of the following?,The electric current,The square of the electric current,The resistance,The inverse of the electric current,b,1
What is the coil of wire used in an electric room heater called?,Conductor,Insulator,Element,Resistor,c,1
Which of the following does not represent electric power in an electric circuit?,IR2,VI,V2/R,I2R,a,1
"According to Ohm's Law, the ratio of the potential difference across a conductor to the current flowing through it is a constant, provided that:",Only the voltage remains constant,Its physical conditions like temperature etc. remain constant,The current flowing remains constant,The resistance remains constant,b,1
"When two resistors R1 and R2 are connected in series, their equivalent resistance will be:",R1/R2,R1-R2,R1+R2,R2/R1,c,1
Copper wires are often used instead of iron for power transmission because:,Iron is more expensive,Copper is easier to find,Copper can carry more electricity than iron,Iron is heavier,c,1
Which of the following is considered a good electric conductor?,Ebonite,Graphite,Insulator,Semiconductor,b,1
Why are copper wires preferred over iron for power transmission?,Copper is cheaper than iron.,Copper is more readily available.,Copper can carry more electricity than iron (Lower resistance).,Iron corrodes faster than copper.,c,1
An electric bulb connected to an 18V battery draws a 3A current. What is the resistance of the bulb?,3Ω,12Ω,6Ω,9Ω,c,1
Substances that do not allow electric current to flow are called:,Conductors,Semiconductors,Insulators,Resistors,c,1
Resistance of a metal conductor is proportional to which of the following?,Its area,Its volume,Its length,Its density,c,1
Which of the following affects the resistance of a wire?,Volume of wire,Density of wire,"Resistivity, Length, Area of cross-section",Mass of wire,c,1
Which of the following is NOT a factor on which the resistivity of a wire depends?,Material of wire,Density of the material,Temperature,Nature of the substance,b,1
Which device is used to prevent information loss in large computer memories during brief power outages?,Transistor,Capacitor,Diode,Transformer,b,1
What is the function of a rectifier?,Convert DC to AC,Amplify signals,Convert AC to DC,Regulate voltage,c,1
"In the symbol of an electric cell, which terminal does the thick, short line represent?",Positive terminal,Neutral terminal,Ground terminal,Negative terminal,d,1
What is the typical initial voltage of batteries used in household gadgets?,3 V,9 V,1.5 V,6 V,c,1
Which type of energy conversion occurs within a battery?,Electrical to Chemical,Mechanical to Electrical,Chemical to Electrical,Nuclear to Electrical,c,1
What is the function of a repeater in electronics?,To store electrical charge,To generate high voltage,To regenerate a weak signal,To block alternating current,c,1
What process is described as adding suitable impurities to a semiconductor?,Annealing,Isolating,Doping,Shielding,c,1
Which of the following devices is used as an amplifier?,Diode,Capacitor,Resistor,Transistor,d,1
"Match the following devices with their primary function:

   Device             Function
I. Voltmeter       A. Detects small current
II. Galvanometer   B. Measures potential difference

Options:
","I-A, II-B","I-B, II-A","I-B, II-B","I-A, II-A",b,1
Which of the following devices is used in digital circuits to prevent data loss during brief power outages?,Transistor,Capacitor,Diode,Transformer,b,1
What phenomenon is produced by an electrode wire passing thousands of volts in an electrostatic precipitator?,Ionization,Corona,Rectification,Amplification,b,1
Which of the following components cannot be manufactured within an Integrated Circuit (IC)?,Transistor,Diode,Resistor,Transformer,d,1
A battery converts which form of energy into electrical energy?,Mechanical,Nuclear,Chemical,Solar,c,1
What is a 'repeater' in the context of electronic devices?,A device that stores electrical energy,A device that converts AC to DC,A device that amplifies current,An electronic device that receives a weak signal and regenerates it,d,1
What is the function of a diode?,Amplification,Oscillation,Rectification,Modulation,c,1
Rectifiers are used to convert:,DC to AC,AC to AC (high voltage to low voltage),AC to DC,DC to DC (low voltage to high voltage),c,1
The process of adding impurities to a semiconductor is called:,Insulation,Amplification,Doping,Rectification,c,1
What is a combination of two or more cells called when connected positive to negative?,Resistor,Battery,Capacitor,Inductor,b,1
Which device regenerates a weak signal?,Rectifier,Amplifier,Repeater,Transmitter,c,1
A sealed glass vacuum tube with an electron beam focused on a phosphor-coated screen is called a:,Transistor,Cathode Ray Tube,Diode,Integrated Circuit,b,1
Silicon is classified as what type of material?,Conductor,Insulator,Semiconductor,Superconductor,c,1
"In an electrostatic precipitator, the high-voltage electrode wire produces what phenomenon to remove electrons?",Resistance,Corona,Rectification,Amplification,b,1
Which component is typically NOT manufactured within an Integrated Circuit (IC)?,Diode,Transistor,Capacitor,Transformer,d,1
What type of device is a repeater?,A device that stores electrical energy,A device that amplifies voltage,An electronic device that regenerates weak signals,A device that converts AC to DC,c,1
